kode_univ,nama_univ,kode_prodi,program_studi,jenjang,daya_tampung_2025,peminat_2024,jenis_portofolio
1111,UNIVERSITAS SYIAH KUALA,11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,84,411,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111002,TEKNIK SIPIL,Sarjana,98,606,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111003,TEKNIK MESIN,Sarjana,42,220,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111004,TEKNIK KIMIA,Sarjana,63,160,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111005,ARSITEKTUR,Sarjana,56,294,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111006,TEKNIK ELEKTRO,Sarjana,56,221,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111007,AGROTEKNOLOGI,Sarjana,42,183,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111008,AGRIBISNIS,Sarjana,56,299,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111009,PETERNAKAN,Sarjana,46,117,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,56,109,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111011,TEKNIK PERTANIAN,Sarjana,56,171,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111012,PENDIDIKAN BIOLOGI,Sarjana,42,194,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111013,PENDIDIKAN MATEMATIKA,Sarjana,42,173,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111014,PENDIDIKAN FISIKA,Sarjana,42,59,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111015,PENDIDIKAN KIMIA,Sarjana,42,55,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111016,PENDIDIKAN DOKTER,Sarjana,88,1859,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111017,ILMU KEPERAWATAN,Sarjana,126,1313,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111018,PENDIDIKAN DOKTER GIGI,Sarjana,35,858,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111019,MATEMATIKA,Sarjana,28,50,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111020,FISIKA,Sarjana,28,14,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111021,KIMIA,Sarjana,28,58,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111022,BIOLOGI,Sarjana,42,120,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111023,ILMU KELAUTAN,Sarjana,56,132,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111024,BUDIDAYA PERAIRAN,Sarjana,56,71,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111025,TEKNIK INDUSTRI,Sarjana,42,445,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111026,INFORMATIKA,Sarjana,42,1219,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111027,FARMASI,Sarjana,28,1576,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111028,TEKNIK GEOFISIKA,Sarjana,28,85,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111029,TEKNIK PERTAMBANGAN,Sarjana,42,864,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111030,STATISTIKA,Sarjana,42,218,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111031,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,42,66,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111032,ILMU TANAH,Sarjana,42,85,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111033,TEKNIK GEOLOGI,Sarjana,28,219,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111034,AGROTEKNOLOGI (PSDKU GAYO LUES),Sarjana,14,20,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111035,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),Sarjana,14,22,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111036,KEHUTANAN (PSDKU GAYO LUES),Sarjana,21,15,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111037,PROTEKSI TANAMAN,Sarjana,28,30,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111038,PERENCANAAN WILAYAH DAN KOTA,Sarjana,42,291,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111039,KEHUTANAN,Sarjana,42,146,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111040,TEKNIK KOMPUTER,Sarjana,56,822,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111041,EKONOMI PEMBANGUNAN,Sarjana,56,360,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111042,MANAJEMEN,Sarjana,70,1345,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111043,AKUNTANSI,Sarjana,70,784,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111044,ILMU HUKUM,Sarjana,196,1476,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111045,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,49,279,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111046,PENDIDIKAN SEJARAH,Sarjana,42,237,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111047,PENDIDIKAN EKONOMI,Sarjana,56,144,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111048,PENDIDIKAN GEOGRAFI,Sarjana,56,104,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111049,PENDIDIKAN BAHASA INDONESIA,Sarjana,56,385,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111050,PENDIDIKAN BAHASA INGGRIS,Sarjana,56,358,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111051,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Sarjana,42,65,Sendratasik
1111,UNIVERSITAS SYIAH KUALA,11111052,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,56,359,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111053,PEND. JASMANI KESEHATAN DAN REKREASI,Sarjana,70,188,Olahraga
1111,UNIVERSITAS SYIAH KUALA,11111054,BIMBINGAN KONSELING,Sarjana,53,712,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111055,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,81,950,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111056,PSIKOLOGI,Sarjana,28,665,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111057,ILMU POLITIK,Sarjana,56,179,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111058,SOSIOLOGI,Sarjana,42,143,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111059,ILMU KOMUNIKASI,Sarjana,63,712,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111060,PENDIDIKAN GURU PAUD,Sarjana,49,311,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111061,ILMU PEMERINTAHAN,Sarjana,63,365,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111062,EKONOMI ISLAM,Sarjana,56,321,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111063,MANAJEMEN (PSDKU GAYO LUES),Sarjana,28,30,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11111078,TEKNOLOGI INDUSTRI HASIL PERIKANAN,Sarjana,18,,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11112065,AKUNTANSI PERPAJAKAN,Sarjana Terapan,28,1645,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113064,KESEHATAN HEWAN,Diploma Tiga,11,383,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113066,MANAJEMEN AGRIBISNIS,Diploma Tiga,35,598,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113067,TEKNIK LISTRIK,Diploma Tiga,14,189,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113068,BUDIDAYA PETERNAKAN,Diploma Tiga,21,282,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113069,TEKNIK MESIN,Diploma Tiga,14,264,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113071,TEKNIK SIPIL,Diploma Tiga,28,710,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113072,SEKRETARI,Diploma Tiga,14,320,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113073,MANAJEMEN PERUSAHAAN,Diploma Tiga,14,814,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113075,AKUNTANSI,Diploma Tiga,28,913,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113076,KEUANGAN DAN PERBANKAN,Diploma Tiga,28,1106,Tidak Ada
1111,UNIVERSITAS SYIAH KUALA,11113077,MANAJEMEN INFORMATIKA,Diploma Tiga,28,1297,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121001,TEKNIK SIPIL,Sarjana,132,194,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121002,TEKNIK MESIN,Sarjana,120,155,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121003,TEKNIK KIMIA,Sarjana,100,110,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121004,TEKNIK ELEKTRO,Sarjana,80,148,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121005,TEKNIK INDUSTRI,Sarjana,100,274,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121006,TEKNIK INFORMATIKA,Sarjana,118,506,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121007,TEKNIK ARSITEKTUR,Sarjana,60,64,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121008,AGROEKOTEKNOLOGI,Sarjana,120,171,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121009,AGRIBISNIS,Sarjana,100,142,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121010,AKUAKULTUR,Sarjana,40,15,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121011,KEDOKTERAN,Sarjana,60,1296,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121012,PENDIDIKAN FISIKA,Sarjana,48,22,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121013,PENDIDIKAN KIMIA,Sarjana,48,25,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121014,PENDIDIKAN MATEMATIKA,Sarjana,48,45,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121015,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,24,18,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121016,SISTEM INFORMASI,Sarjana,80,224,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121017,ILMU KELAUTAN,Sarjana,40,33,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121018,TEKNIK MATERIAL,Sarjana,40,26,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121019,TEKNIK LOGISTIK,Sarjana,40,31,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121020,MANAJEMEN,Sarjana,160,459,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121021,AKUNTANSI,Sarjana,124,236,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121022,ILMU EKONOMI & STUDI PEMBANGUNAN,Sarjana,112,72,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121023,ADMINISTRASI PUBLIK,Sarjana,140,183,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121024,SOSIOLOGI,Sarjana,82,67,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121025,ILMU POLITIK,Sarjana,80,43,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121026,ANTROPOLOGI,Sarjana,40,30,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121027,ILMU KOMUNIKASI,Sarjana,140,309,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121028,HUKUM,Sarjana,220,322,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121029,EKONOMI SYARIAH,Sarjana,82,130,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121030,PSIKOLOGI,Sarjana,78,329,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121031,PENDIDIKAN BAHASA INDONESIA,Sarjana,72,193,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121032,ADMINISTRASI BISNIS,Sarjana,60,184,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11121033,KEWIRUSAHAAN,Sarjana,48,51,Tidak Ada
1112,UNIVERSITAS MALIKUSSALEH,11123034,KEPERAWATAN,Diploma Tiga,40,727,Tidak Ada
1113,UNIVERSITAS TEUKU UMAR,11131001,TEKNIK SIPIL,Sarjana,75,77,Tidak Ada
1113,UNIVERSITAS TEUKU UMAR,11131002,TEKNIK MESIN,Sarjana,80,69,Tidak Ada
1113,UNIVERSITAS TEUKU UMAR,11131003,TEKNIK INDUSTRI,Sarjana,60,101,Tidak Ada
1113,UNIVERSITAS TEUKU UMAR,11131004,AGRIBISNIS,Sarjana,60,55,Tidak Ada
