kode,nama,kab_kota,provinsi_1,provinsi_2,link_profil
1111,UNIVERSITAS SYIAH KUALA,Kota Banda Aceh,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=111
1112,UNIVERSITAS MALIKUSSALEH,Kabupaten Aceh Utara,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=112
1113,UNIVERSITAS TEUKU UMAR,Kabupaten Aceh Barat,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=113
1114,UNIVERSITAS SAMUDRA,Kota Langsa,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=114
1115,ISBI ACEH,Kabupaten Aceh Besar,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=115
1121,UNIVERSITAS SUMATERA UTARA,Kota Medan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=121
1122,UNIVERSITAS NEGERI MEDAN,Kota Medan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=122
1131,UNIVERSITAS RIAU,Kota Pekanbaru,Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=131
1133,UNIVERSITAS MARITIM RAJA ALI HAJI,Kota Tanjungpinang,Kepulauan Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=133
1141,UNIVERSITAS ANDALAS,Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=141
1142,UNIVERSITAS NEGERI PADANG,Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=142
1143,ISI PADANG PANJANG,Kota Padang Panjang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=143
1151,UNIVERSITAS JAMBI,Kabupaten Muaro Jambi,Jambi,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=151
1161,UNIVERSITAS BENGKULU,Kota Bengkulu,Bengkulu,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=161
1171,UNIVERSITAS SRIWIJAYA,Kabupaten Ogan Ilir,Sumatera Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=171
1181,UNIVERSITAS BANGKA BELITUNG,Kabupaten Bangka,Kepulauan Bangka Belitung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=181
1191,UNIVERSITAS LAMPUNG,Kota Bandar Lampung,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=191
1192,INSTITUT TEKNOLOGI SUMATERA,Kabupaten Lampung Selatan,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=192
1311,UNIVERSITAS SULTAN AGENG TIRTAYASA,Kabupaten Serang,Banten,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=311
1321,UNIVERSITAS INDONESIA,Kota Jakarta Pusat,Jakarta Raya,Jawa Barat,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=321
